요구사항명,수용 기준/테스트 케이스,언어&툴,업무구분,요구사항 내용,요구사항ID,중요도&난이도&유형,필요 스킬
메인 홈/알림/최근 이력,"- 위젯 데이터 바인딩
- 최근 이력 클릭 시 해당 대화/문서로 이동","React, Axios","공통, 시스템","로그인 후 요약(최근 상담, 공지, 시스템 알림, 최근 조회 이력)을 제공한다.",SYS-001,PHASE1 | Must | 난이도:중 | 유형:SYS,상태관리/라우팅/UX
근거(출처) 패널 표시,"- 근거 0개일 때 '확인 필요' 가이드 표시
- 근거 클릭 시 원문/메타데이터 표시",React,"UI, 상담",답변과 함께 근거 문서/조항(Top-K)을 패널로 표시하고 원문 보기/복사를 제공한다.,UI-002,PHASE1 | Must | 난이도:중 | 유형:UI,문서뷰어/메타데이터 UI
Button-based template recommendation (with abuse defense),"- Button cooldown (e.g., 3-5s)
- Per-session invocation cap + token budget guard
- On limit breach: block response + audit log
- Recommendation tool must not run in default chat flow",Spring AI @Tool / Redis,상담템플릿,"Template recommendation is triggered only by explicit button action, with anti-abuse controls (cooldown, per-session cap, token budget).",TMP-001,PHASE1 | Must | 난이도:상 | 유형:TMP,Rate Limit / Abuse Defense / UX Policy
템플릿 버전/승인(검수) 워크플로우,"- 승인 전 템플릿은 추천 목록 제외
- 버전 변경 이력 조회/롤백","Admin UI, DB",상담템플릿,관리자 승인된 템플릿만 상담원 추천 대상으로 사용한다(draft/approved/deprecated).,TMP-003,PHASE1 | Must | 난이도:상 | 유형:TMP,버전관리/워크플로우
PII 마스킹 및 로그 통제,"- 전화/이메일/주소 등 마스킹 규칙 적용
- 서버/감사 로그에서 PII 미검출
- 권한별 상세 필드 접근 차등","Spring Boot, React","보안, 인증",고객 개인정보(PII)는 화면/로그/LLM 입력에서 마스킹한다. 도구 호출 로그에도 PII를 남기지 않는다.,SEC-003,PHASE1 | Must | 난이도:상 | 유형:SEC,마스킹/로그필터/권한별 필드 통제
문서 변경 감지 및 재색인 배치,"- 재색인 성공/실패 알림
- 재시도/부분 실패 처리",Spring Batch(선택),"배치, 운영",문서 업데이트 시 재청킹/재임베딩/재색인을 스케줄링하고 실패 재시도 규칙을 제공한다.,ETL-001,PHASE1 | Should | 난이도:중 | 유형:ETL,배치/재처리/상태관리
규정/매뉴얼 업로드 및 메타데이터 등록,"- 업로드 성공/실패 처리
- 메타데이터 필수값 검증","Spring Boot, React",지식베이스,PDF/HTML/MD 등 문서를 업로드하고 카테고리/시행일/버전/부서 등 메타데이터를 등록한다.,KB-001,PHASE1 | Must | 난이도:중 | 유형:KB,파일업로드/메타데이터 설계
템플릿 추천 Tool의 버튼 트리거 강제,"- 일반 채팅 요청에서는 템플릿 추천 Tool 호출 불가
- 템플릿 추천 API는 특정 엔드포인트/스코프에서만 허용","Spring Boot, Spring Security",Tool호출,템플릿 추천은 LLM이 임의 호출하지 않도록 'UI 버튼 액션'에서만 실행되게 강제(서버에서 스코프 검증)한다.,TOOL-003,PHASE1 | Must | 난이도:상 | 유형:TOOL,엔드포인트 분리/스코프 검증
변경 배포(승인) 및 공지,"- 승인 전에는 운영 반영되지 않음(선택: 스테이징/운영 분리)
- 배포 시 공지/변경요약 노출
- 변경 이력 조회 가능","React, Spring Boot","관리자, 운영관리","템플릿/정책/모델 변경이 발생하면 승인 후 배포되며, 상담원에게 변경 공지를 노출한다(선택).",ADM-006,PHASE1 | Should | 난이도:중 | 유형:ADM,배포흐름/공지 UX/변경관리
모델 라우팅 룰 CRUD(조건부 Ollama↔API),"- 룰 변경 즉시 반영
- 특정 조건에서 API로 전환되는지 테스트
- 룰 이력/롤백","React, Spring Boot","관리자, 운영관리",질의 카테고리/근거 개수/길이/불확실 조건에 따라 모델을 선택하는 라우팅 룰을 관리자가 CRUD할 수 있다.,ADM-004,PHASE1 | Should | 난이도:상 | 유형:ADM,룰엔진/운영정책/테스트
ToolContext로 비공개 컨텍스트 전달,"- ToolContext 값은 모델 입력에 포함되지 않음
- 테넌트/권한별 검색 결과가 분리됨",Spring AI,Tool호출,tenantId/userRole/apiKeyRef 등 LLM에 노출 금지 정보를 ToolContext로 주입한다.,TOOL-002,PHASE1 | Must | 난이도:상 | 유형:TOOL,ToolContext/권한/테넌트
Spring AI @Tool 기반 검색/템플릿 도구 구현,"- LLM이 도구 호출 요청→서버가 메서드 실행→결과 반영
- 도구 결과는 JSON 직렬화로 전달",Spring AI,Tool호출,"retrievePolicy, recommendTemplates 등 핵심 기능을 Tool로 정의하고 LLM이 필요 시 호출하도록 한다.",TOOL-001,PHASE1 | Must | 난이도:상 | 유형:TOOL,@Tool/@ToolParam/직렬화
Structured answer components for template application (Production Mandatory),"- Block user delivery on schema validation failure / citation missing / insufficient evidence (fail-closed)
- Only allow safe alternatives: ""I do not know / Need verification / Ask follow-up""
- Free-text fallback is prohibited",Spring AI / JSON Schema Validator,"AI상담, RAG","Apply Answer Contract as a production-mandatory rule. LLM output must include structured JSON schema fields and citations, and only validated responses are exposed to users.",RAG-003,PHASE1 | Must | 난이도:상 | 유형:RAG,Structured Output / Schema Validation / Fail-closed
라우팅/에스컬레이션 정책,"- 조건 충족 시 API로 전환
- 비용/지연시간 로그 확인 가능",Spring Boot,LLM,불확실/근거부족/고난도 질의 시 API로 에스컬레이션하는 규칙을 제공한다.,LLM-002,PHASE1 | Must | 난이도:상 | 유형:LLM,정책설계/옵저버빌리티
Ollama + 외부 API Provider 이중 지원,"- 설정 변경으로 Provider 전환 가능
- 동일 요청에 대해 응답 형식이 일관됨","Spring AI, Ollama, External API",LLM,동일한 Orchestrator에서 Ollama/외부 API를 선택 호출할 수 있게 Provider 추상화를 구현한다.,LLM-001,PHASE1 | Should | 난이도:상 | 유형:LLM,Provider 패턴/설정관리
모델 설정 CRUD + 활성 모델 전환/롤백,"- 활성 모델 변경 즉시 반영
- 변경 이력/롤백 동작
- 비밀키는 DB에 평문 저장 금지(참조키로 관리)","React Admin UI, Spring Boot","관리자, 운영관리",모델(Provider/모델명/엔드포인트/파라미터/키참조) 등록/수정/삭제 및 활성 전환/롤백을 제공한다.,ADM-001,PHASE1 | Must | 난이도:중 | 유형:ADM,CRUD/권한/비밀관리
하이브리드 검색 + 필터링,"- 필터/정렬/TopK 동작
- 성능(응답시간) 목표 충족","Elasticsearch/OpenSearch(선택), Vector DB",지식베이스,벡터 검색 + 키워드(BM25) 혼합 및 메타데이터(버전/시행일/부서) 필터를 지원한다.,KB-003,PHASE1 | Should | 난이도:중 | 유형:KB,검색/랭킹/성능튜닝
"[Phase2] MCP transport policy (dev: STDIO, prod: SSE/HTTP)","- Not included in Phase 1 release
- Apply after transport and audit standards are approved
- Provide immediate block/bypass path on incident",SSE/HTTP / Observability,MCP,Out of MVP scope. Move to Phase 2~3 and apply after production transport standards (security/observability/recovery) are finalized.,MCP-002,PHASE1 | Should | 난이도:상 | 유형:MCP,Transport Operations / Recovery
시크릿 키/연동 키 관리(암호화/회전),"- 키가 평문으로 DB에 저장되지 않음
- 키 변경 후 즉시 적용
- 키 접근 로그/Audit 기록",Spring Boot,"관리자, 운영관리","외부 API 시크릿 키는 암호화 저장 또는 Vault 연동(선택)으로 관리하고, 키 회전/폐기/적용을 지원한다.",ADM-005,PHASE1 | Should | 난이도:상 | 유형:ADM,KMS/Vault(선택)/암호화/보안운영
채팅 UI + 스트리밍 응답,"- 스트리밍 중 중단/재시도 가능
- 로딩/에러/타임아웃 UI 표준화","React, SSE/WebSocket(선택)","UI, 상담","질의/응답을 대화 형태로 제공하고, 가능하면 스트리밍으로 답변을 표시한다.",UI-001,PHASE1 | Must | 난이도:중 | 유형:UI,스트리밍 UI/에러핸들링
[Phase2] MCP Client integration for external systems,"- Not included in Phase 1 release
- Pilot validation in Phase 2 before gradual rollout
- Full audit trail for calls/failures/retries",MCP Client / Gateway,MCP,"Out of MVP scope. Move to Phase 2~3 after security/performance/operability controls (allowlist, timeout, audit) are validated.",MCP-001,PHASE1 | Should | 난이도:상 | 유형:MCP,External Integration / Secure Transport
템플릿 사용 로그/효과 측정,"- 템플릿 사용/미사용 이벤트 기록
- 템플릿 적용 후 편집 여부 기록
- 관리자 통계 화면에서 조회 가능(선택)","Spring Boot, DB, React(선택)",상담템플릿,"상담원이 어떤 템플릿을 사용했는지, 수정했는지, 만족도/피드백을 로그로 남겨 템플릿 개선에 활용한다.",TMP-005,PHASE1 | Should | 난이도:중 | 유형:TMP,이벤트로그/분석지표
답변 편집기 + 템플릿 적용/변경 이력 표시,"- 템플릿 적용 후 상담원이 편집하면 '수정됨' 표시
- 원클릭으로 '템플릿 초안으로 되돌리기' 제공(선택)
- 복사/클립보드 실패 등 에러 처리",React,"UI, 상담","상담원이 최종 발송 전 답변을 편집할 수 있는 에디터를 제공하며, 템플릿 적용 여부/수정 여부를 표시한다.",UI-004,PHASE1 | Must | 난이도:중 | 유형:UI,텍스트에디터/UX/에러핸들링
템플릿 CRUD + 승인/버전관리,"- 승인된 템플릿만 운영 반영
- 버전 증가/이력 비교/롤백","React, Spring Boot, DB","관리자, 운영관리","템플릿 생성/수정/폐기, 승인 워크플로우, 버전/히스토리 조회를 제공한다.",ADM-002,PHASE1 | Should | 난이도:중 | 유형:ADM,버전관리/검수 프로세스
폴백/재시도/타임아웃,"- 타임아웃 발생 시 폴백 동작
- 재시도 횟수/지수 백오프 적용",Spring Boot,LLM,"모델 호출 실패 시 대체 모델로 전환하고, 재시도/타임아웃 정책을 제공한다.",LLM-003,PHASE1 | Must | 난이도:상 | 유형:LLM,회복탄력성/서킷브레이커
모델/정책/템플릿 버전 활성화 및 롤백,"- 버전 식별/조회
- 활성 버전 전환
- 롤백 동작","Spring Boot, DB",운영품질,"운영 중 모델/정책/템플릿의 활성 버전을 관리하고, 장애/품질 저하 시 롤백할 수 있다.",OPS-002,PHASE1 | Should | 난이도:중 | 유형:OPS,버전레지스트리/활성버전전환
Response performance SLO(10~15s) + staged timeout/fallback rules,"- P95 E2E <= 15s
- P95 first token <= 2s
- On timeout return safe response only (Need verification)
- Free-text fallback prohibited",APM / OpenTelemetry / Timeout Policy,운영품질,"Enforce production SLO: E2E 10~15s (max 15s), streaming first-token target 1~2s. Apply staged timeout and fail-closed fallback rules.",PERF-001,PHASE1 | Must | 난이도:상 | 유형:PERF,Performance Tuning / SLO Operations
Approved Answer Bank + instant response path,"- Sub-second response target on cache hit
- Invalidate on policy/template version mismatch
- Track hit/miss/invalidation logs",Redis / PostgreSQL,"AI상담, RAG",Store approved answers with policy/template version and prioritize instant-response path for repeated intents.,CCH-001,PHASE1 | Must | 난이도:중 | 유형:AI,Cache Strategy / Versioning
Semantic cache + session-summary memory (PII excluded),"- Semantic similarity cache hit path
- Session-summary context reuse
- PII exclusion/masking validation
- TTL + invalidation policy enforcement",Embedding Cache / Session Summary,"AI상담, RAG",Combine semantic cache and session summary memory to speed repeated responses while excluding PII from memory/cache.,CCH-002,PHASE1 | Must | 난이도:중 | 유형:AI,RAG Memory / Privacy
Token/cost abuse defense (I/O/toolcall/TopK/session budget/concurrency),"- Per-user/tenant quota enforcement with 429/block
- Session budget hard-stop
- Detect bypass attempts and audit all events",Rate Limiter / WAF / Redis,"보안, 인증","Prevent abuse such as token drain, rapid-fire requests, and long streaming occupation through hard limits on I/O tokens, tool calls, TopK, session budget, and concurrent streams.",SEC-004,PHASE1 | Must | 난이도:상 | 유형:SEC,Abuse Defense / Cost Control
Ops dashboard + alerting + immediate actions + runbook,"- Auto detection and alerting
- Immediate operator controls available
- Runbook compliance tracking
- MTTD/MTTR metrics tracked",Dashboard / Alert / Runbook,운영품질,"Operate with integrated dashboard, alerting, immediate controls (kill-switch/block/rollback), and runbook-driven response.",OPS-003,PHASE1 | Must | 난이도:상 | 유형:OPS,SRE / Incident Management
Preview-Approval-Canary process for policy/prompt/routing changes,"- No production apply without approval
- Auto rollback on canary failure
- Full audit trail for approver/change/result",Admin Console / Release Control,"관리자, 운영관리",Enforce Preview -> Approval -> Canary -> Gradual rollout for all policy/prompt/routing changes.,ADM-007,PHASE1 | Must | 난이도:상 | 유형:ADM,Change Governance
Agent productivity UX (shortcuts/one-click copy-insert/recent reuse),"- Reduced clicks and handling time
- Consistent shortcut behavior
- Guardrails for reuse mis-application",React / UX Toolkit,"UI, 상담","Improve agent productivity with keyboard shortcuts, one-click copy/insert, and recent-response reuse.",UI-005,PHASE1 | Must | 난이도:중 | 유형:UI,Productivity UX
Admin Console 운영 대시보드(트래픽/지연/에러/비용),"- 매니저: 읽기 전용(필터/다운로드) 가능, 설정 변경 불가(403)
- 시스템 관리자: 대시보드 위젯/임계치 저장 가능
- 지표 카드(요청수, p95, error_rate, estimated_cost) 정상 집계
- 모든 설정 변경 CRUD는 TB_AUDIT_LOG에 actor/trace_id/diff 저장","React Admin Console, Spring Boot, PostgreSQL, Redis, OpenTelemetry","관리자, 운영관리, 운영품질","역할별 운영 대시보드를 제공한다. 매니저는 조회/필터/드릴다운 중심으로 사용하고 시스템 관리자는 위젯/임계치/알람 정책 설정까지 수행한다. 데이터 소스: TB_API_METRIC_HOURLY, TB_OPS_EVENT, TB_ERROR_CATALOG, TB_GENERATION_LOG, TB_TOOL_CALL_LOG, TB_TENANT_USAGE_DAILY, TB_TENANT_USAGE_MONTHLY, TB_COST_RATE_CARD.",OPS-100,PHASE1 | Must | 난이도:중 | 유형:OPS,"dashboard-patterns, observability-setup, rate-limiting-abuse-protection"
모델/키/라우팅 관리(Provider Key는 secret_ref만 저장),"- secret_ref 외 키 평문 입력/반환 차단
- 매니저는 상태 조회/헬스 조회만, 시스템 관리자는 등록/수정/회전 허용
- 라우팅 변경 전후 비교 및 롤백 가능
- 관련 CRUD 모두 TB_AUDIT_LOG 기록(trace_id 필수)","Spring Boot, Vault/KMS, PostgreSQL","LLM, 관리자, 보안, 운영관리","LLM Provider/Model/Route를 관리하고 Provider Key는 평문 저장 없이 secret_ref로만 등록/회전한다. 라우팅 규칙 변경은 버전화하여 즉시 롤백 가능해야 한다. 데이터 소스: TB_LLM_PROVIDER, TB_LLM_MODEL, TB_LLM_ROUTE, TB_PROVIDER_KEY.",ADM-102,PHASE1 | Must | 난이도:상 | 유형:ADM,"guardrails-safety-filter-builder, webhook-receiver-hardener, observability-setup"
Admin Console 모듈/RBAC(매니저·시스템 관리자 분리),"- 화면/API 권한 매트릭스가 역할별로 분리되어 403 동작
- 매니저는 운영 조회/승인 범위만 허용, 시스템 관리자는 플랫폼 설정 CRUD 허용
- 권한 변경 시 활성 세션 재평가
- 관리자 CRUD 전 구간 TB_AUDIT_LOG에 actor, role, trace_id, before_after_diff 저장","Spring Security RBAC, React Admin Console, PostgreSQL","관리자, 보안, 운영관리","관리자 콘솔 모듈을 신설하고 역할을 Manager(운영 관리자)와 System Admin(플랫폼 관리자)로 분리한다. RBAC은 서버가 최종 권위이며 UI는 보조 게이트로만 사용한다. 데이터 소스: TB_ROLE, TB_PERMISSION, TB_ROLE_PERMISSION, TB_USER_ROLE, TB_AUTH_SESSION.",ADM-100,PHASE1 | Must | 난이도:중 | 유형:ADM,"software-backend, guardrails-safety-filter-builder, observability-setup"
정책/템플릿/프롬프트 버전 관리(승인/배포/롤백),"- 승인 전 버전은 운영 적용 차단
- 배포/롤백 요청은 역할별 권한 검증(매니저=승인 요청/조회, 시스템 관리자=최종 승인/활성 전환)
- 활성 버전 단일성 보장
- 모든 생성/수정/승인/롤백 CRUD가 TB_AUDIT_LOG에 저장","React, Spring Boot, PostgreSQL, Redis","LLM, 관리자, 상담템플릿, 운영관리","정책/템플릿/프롬프트를 draft-review-approved 상태머신으로 관리하고 승인된 버전만 운영 경로에서 활성화한다. 배포/롤백 시 영향 범위와 변경 diff를 함께 제공한다. 데이터 소스: TB_POLICY, TB_POLICY_VERSION, TB_PROMPT, TB_PROMPT_VERSION, TB_TEMPLATE, TB_TEMPLATE_VERSION, TB_TEMPLATE_POLICY_MAP.",ADM-101,PHASE1 | Must | 난이도:상 | 유형:ADM,"software-backend, idempotency, release-check"
감사 로그 조회 + 변경 이력 추적,"- CRUD 이벤트별 before/after diff 조회 가능
- trace_id로 요청→도구→응답 경로 역추적 가능
- 매니저는 조회 전용, 시스템 관리자는 보존정책/마스킹 정책 변경 가능
- 관리자 영역 CRUD는 예외 없이 TB_AUDIT_LOG에 기록되며 누락 시 저장 차단","Spring Boot, OpenTelemetry, PostgreSQL","관리자, 보안, 운영관리","관리자 콘솔에서 설정 변경/승인/배포/롤백 이력을 trace_id 단위로 조회한다. 변경 전후 값(diff), 행위자, 역할, IP/채널, 대상 리소스를 필수 저장한다. 데이터 소스: TB_AUDIT_LOG, TB_OPS_EVENT, TB_ERROR_CATALOG.",OPS-103,PHASE1 | Must | 난이도:중 | 유형:OPS,"observability-setup, software-backend, guardrails-safety-filter-builder"
테넌트/플랜/구독/쿼터/사용량 리포트,"- 테넌트별 월간 사용량/비용 리포트 조회
- 쿼터 초과/임계치 경고 표시
- 매니저는 조회/알림 조치, 시스템 관리자는 플랜/쿼터 변경 CRUD 가능
- 플랜/구독/쿼터 변경 CRUD는 TB_AUDIT_LOG 기록","React, Spring Boot, PostgreSQL, Redis","관리자, 운영관리, 운영품질","테넌트별 플랜/구독/쿼터/일·월 사용량과 추정 비용을 통합 조회한다. 초과 사용과 임계치 도달을 탐지하여 조치 워크플로로 연결한다. 데이터 소스: TB_TENANT, TB_TENANT_PLAN, TB_TENANT_SUBSCRIPTION, TB_TENANT_QUOTA, TB_TENANT_USAGE_DAILY, TB_TENANT_USAGE_MONTHLY, TB_COST_RATE_CARD.",OPS-102,PHASE1 | Must | 난이도:중 | 유형:OPS,"rate-limiting-abuse-protection, redis-patterns, observability-setup"
KB/인덱싱 운영(ingest job/index version/vector index status),"- ingest job 단계별 상태/오류 조회
- index version 활성 전환 및 rollback 경로 제공
- 매니저는 재시도/재색인 실행 권한, 시스템 관리자는 인덱스 스왑/폐기 권한
- 상태 변경 CRUD는 TB_AUDIT_LOG에 작업자/trace_id와 함께 기록","Spring Boot, PostgreSQL(pgvector), Batch Worker","관리자, 운영관리, 운영품질, 지식베이스","문서 인입부터 인덱스 활성화까지 상태를 운영 화면에서 추적한다. 재색인 빌드/활성/폐기 상태를 가시화하고 실패 원인과 재시도 제어를 제공한다. 데이터 소스: TB_KB, TB_KB_SOURCE, TB_KB_DOCUMENT, TB_KB_INGEST_JOB, TB_KB_INDEX_VERSION, TB_VECTOR_INDEX_STATUS, TB_KB_CHUNK_EMBEDDING.",OPS-101,PHASE1 | Must | 난이도:상 | 유형:OPS,"postgres-semantic-search, rag-architect, observability-setup"
RBAC Forbidden(403) 공통 응답 규약,"- 권한 불일치 요청은 403
- trace_id/audit_id 포함
- PII 비노출
- Note: PHASE? (근거 부족, 결정 필요)","Spring Security, API Gateway",보안/공통규약,권한 없는 호출은 표준 403 에러 응답으로 차단하고 감사로그를 남긴다.,API-403,PHASE? | Must | 난이도:중 | 유형:API,RBAC/에러규약/감사로그
